Title,Date,Time,Link,Article Description
Dr Musa cabar golongan antivaksin dedah pembohongan,2021-01-10,16:00:00,https://www.sinarharian.com.my/article/118172/video/video-shorts/dr-musa-cabar-golongan-antivaksin-dedah-pembohongan," WACANA SHORTS 10 JANUARI 2021Berikut merupakan petikan Wacana Sinar yang bertajuk 'Vaksin Covid-19: Suci & selamatkah?' bersama Pakar Perunding Pediatrik Hospital Pakar Damansara, Datuk Dr Musa Mohd Nordin pada 5... "
Laksana PKP gelombang ketiga secara bersasar,2021-01-10,07:00:00,https://www.sinarharian.com.my/article/118359/berita/nasional/laksana-pkp-gelombang-ketiga-secara-bersasar," SHAH ALAM - Ekonomi dan kesihatan merupakan dua perkara berbeza, namun kedua-duanya dilihat sama penting terutamanya ketika pandemik Covid-19.Pakar Perubatan Kesihatan Awam Fakulti Perubatan dan Sains Kesihatan... "
Vaksin Covid-19 tidak meyakinkan?,2021-01-09,20:30:00,https://www.sinarharian.com.my/article/118165/video/video-shorts/vaksin-covid-19-tidak-meyakinkan," WACANA SHORTS 9 JANUARI 2021Berikut merupakan petikan Wacana Sinar yang bertajuk 'Vaksin Covid-19: Suci & selamatkah?' bersama Rektor UIAM, Prof Emeritus Tan Sri Dzulkifli Abdul Razak, pada 5 Januari 2021... "
'PN lebih pentingkan survival politik berbanding survival negara',2021-01-09,19:50:00,https://www.sinarharian.com.my/article/118337/berita/politik/pn-lebih-pentingkan-survival-politik-berbanding-survival-negara," SHAH ALAM - Kerajaan Perikatan Nasional (PN) lebih mementingkan fokus survival politik mereka berbanding survival negara daripada pandemik Covid-19.Setiausaha Agung DAP, Lim Guan Eng berkata, tindakan kerajaan PN... "
PRU15: Jangan ketepikan kepentingan rakyat,2021-01-09,15:20:00,https://www.sinarharian.com.my/article/118296/berita/politik/pru15-jangan-ketepikan-kepentingan-rakyat," ALOR GAJAH - Tindakan pihak tertentu mendesakan Pilhan Raya Umum ke-15 (PRU15) diadakan seolah-olah mengenepikan kepetingan rakyat.Ahli Majlis Pimpinan Tertinggi (MPT) Bersatu, Datuk Seri Mohd Redzuan Md Yusof berkata,... "
Jangan terlalu berpolitik sampai abaikan kepentingan rakyat,2021-01-09,14:04:00,https://www.sinarharian.com.my/article/118282/berita/nasional/jangan-terlalu-berpolitik-sampai-abaikan-kepentingan-rakyat," SHAH ALAM - Bekas Ketua Polis Negara, Tan Sri Musa Hassan mengingatkan sesetengah pihak supaya tidak keterlaluan dalam politik sehingga mengabaikan kepentingan rakyat ketika pandemik Covid-19.Menurutnya, Kementerian... "
Covid-19: Salah maklumat punca masyarakat keliru tentang vaksin,2021-01-09,13:35:00,https://www.sinarharian.com.my/article/118275/khas/covid-19/covid-19-salah-maklumat-punca-masyarakat-keliru-tentang-vaksin," SHAH ALAM – Pertikaian berterusan pihak tidak bertanggungjawab mengenai perolehan vaksin Covid-19 oleh kerajaan akan menimbulkan ‘vaccine hesitancy’ atau keraguan melampau masyarakat terhadap vaksin.Pendapat itu... "
Sekat perjalanan di zon merah,2021-01-09,10:42:00,https://www.sinarharian.com.my/article/118264/khas/covid-19/sekat-perjalanan-di-zon-merah," SHAH ALAM - Inisiatif Penyelidikan Sosial dan Ekonomi (SERI) mahu perjalanan di kawasan zon merah dihentikan dengan segera bagi mengurangkan penyebaran pandemik secara meluas ke kawasan-kawasan lain.Ketua Pegawai... "
'PM rancang PRU15 selepas vaksin diedar',2021-01-09,08:05:00,https://www.sinarharian.com.my/article/118260/berita/politik/pm-rancang-pru15-selepas-vaksin-diedarrsquo," SHAH ALAM - Parti Pribumi Bersatu Malaysia (Bersatu) mendedahkan Perdana Menteri, Tan Sri Muhyiddin Yassin merancang untuk mengadakan Pilihan Raya Umum ke-15 (PRU15) setelah pandemik Covid-19 berjaya diredakan dengan... "
OKU tidak boleh ketinggalan,2021-01-09,07:20:00,https://www.sinarharian.com.my/article/118231/khas/pendapat/oku-tidak-boleh-ketinggalan," OLEH kerana kerajaan bertindak balas terhadap penyebaran mendadak Covid-19 melalui langkah-langkah yang luas, kerajaan tidak boleh lupa bahawa sebahagian besar penduduk iaitu 15 peratus hidup dalam kecacatan dan... "
Khairy sahkan vaksin Pfier diluluskan NPRA,2021-01-08,20:11:00,https://www.sinarharian.com.my/article/118215/khas/covid-19/khairy-sahkan-vaksin-pfier-diluluskan-npra," KUALA LUMPUR – Pendaftaran vaksin Covid-19 yang dihasilkan syarikat farmaseutikal, Pfizer sudah mendapat kelulusan Bahagian Regulatori Farmasi Negara (NPRA) Kementerian Kesihatan (KKM).Menteri Sains, Teknologi dan... "
PM Singapura terima suntikan dos pertama vaksin Covid-19,2021-01-08,15:44:00,https://www.sinarharian.com.my/article/118164/khas/covid-19/pm-singapura-terima-suntikan-dos-pertama-vaksin-covid-19," SINGAPURA - Perdana Menteri Singapura, Lee Hsien Loong pada Jumaat menerima suntikan pertama dos vaksin Covid-19 Pfizer-BioNTech.Hsien Loong dalam catatan Facebooknya berkata, beliau menerima suntikan itu bersama... "
Vaksin Covid-19: Rujuk pakar bukan tok bomoh,2021-01-08,14:55:00,https://www.sinarharian.com.my/article/118143/khas/covid-19/vaksin-covid-19-rujuk-pakar-bukan-tok-bomoh," MARANG – Kekeliruan mengenai suntikan vaksin sebagai pencegahan Covid-19 boleh dirungkai dengan merujuk kepada individu yang pakar dalam bidang itu, kata Presiden Pas, Datuk Seri Abdul Hadi Awang.Abdul Hadi berkata,... "
JKJAV perhalusi pelan pemberian vaksin Covid-19,2021-01-08,14:35:00,https://www.sinarharian.com.my/article/118141/khas/covid-19/jkjav-perhalusi-pelan-pemberian-vaksin-covid-19," PUTRAJAYA - Jawatankuasa Khas Jaminan Akses Bekalan Vaksin Covid-19 (JKJAV) sedang memperhalusi Pelan Imunisasi Kebangsaan Covid-19 iaitu pelan pemberian vaksin yang akan diperoleh kepada penduduk Malaysia.Menteri... "
[EKSKLUSIF] ‘Tiada sesiapa paksa saya letak jawatan’,2021-01-08,07:30:00,https://www.sinarharian.com.my/article/118087/berita/nasional/eksklusif-lsquotiada-sesiapa-paksa-saya-letak-jawatanrsquo," [MUKADIMAH] Selepas 12 daripada 13 UMNO Bahagian di Kelantan sebulat suara mengemukakan usul mendesak parti memutuskan hubungan dengan Parti Pribumi Bersatu Malaysia (Bersatu), Pengerusi UMNO Kelantan, Datuk Ahmad Jazlan... "
WhatsApp mendominasi kehidupan,2021-01-08,07:20:00,https://www.sinarharian.com.my/article/118072/whatsapp-mendominasi-kehidupan," AMBANG 2021 menyaksikan lebih 1.4 bilion voice call (panggilan) dan video call (VC) dirakamkan di seluruh dunia, peningkatan hampir 50 peratus berbanding aksi tahun baharu 2020. Senario itu membuktikan aplikasi WhatsApp... "
Percubaan vaksin hanya untuk individu setuju,2021-01-07,20:50:00,https://www.sinarharian.com.my/article/118057/khas/covid-19/percubaan-vaksin-hanya-untuk-individu-setuju, KUCHING- Jabatan Kesihatan Sarawak akan berbincang terlebih dahulu dengan mereka yang terpilih di Sarawak menjalani ujian klinikal percubaan vaksin Covid-19 dari China sebelum mendapatkan persetujuan mereka ujian... 
Surat terbuka kepada PM,2021-01-07,19:09:00,https://www.sinarharian.com.my/article/118041/berita/nasional/surat-terbuka-kepada-pm," SHAH ALAM - Susulan peningkatan kes positif Covid-19 yang semakin membimbangkan, seramai 46 orang pakar kesihatan negara telah menandatangani sepucuk surat terbuka yang ditujukan kepada Perdana Menteri, Tan Sri Muhyiddin... "
Vaksin China suntik keyakinan perangi Covid-19,2021-01-07,15:35:00,https://www.sinarharian.com.my/article/117989/khas/covid-19/vaksin-china-suntik-keyakinan-perangi-covid-19," BEIJING - Pemasaran vaksin China menyuntik keyakinan kepada negara di rantau Asia, Afrika dan Amerika Latin untuk memerangi pandemik Covid-19.Indonesia pada 3 Januari mula mengedarkan vaksin Covid-19 keluaran firma... "
Tiga cadangan perlu dilaksana segera untuk bendung Covid-19,2021-01-07,13:50:00,https://www.sinarharian.com.my/article/117966/khas/covid-19/tiga-cadangan-perlu-dilaksana-segera-untuk-bendung-covid-19," SHAH ALAM - Bekas Timbalan Menteri Kesihatan, Dr Lee Bon Chye mencadangkan tiga langkah yang perlu dilaksanakan segera bagi mengelakkan penularan pandemik Covid-19 menjadi tidak terkawal.Beliau berkata, sistem jagaan... "
Vaksin Covid-19: Siapa patut terima dulu?,2021-01-07,01:46:00,https://www.sinarharian.com.my/article/117920/khas/pendapat/vaksin-covid-19-siapa-patut-terima-dulu," KITA jelas menyedari impak pandemik Covid-19 terhadap negara. Pelbagai aspek teruk terjejas samada tahap kesihatan pekerja kesihatan dan masyarakat awam, kemelesetan ekonomi, peningkatan masalah mental dan isu jenayah... "
Wartawan wajar diberi keutamaan akses vaksin Covid-19,2021-01-06,23:20:00,https://www.sinarharian.com.my/article/117911/khas/covid-19/wartawan-wajar-diberi-keutamaan-akses-vaksin-covid-19," GENEVA - Lebih 600 petugas media meninggal dunia akibat Covid-19 sejak 1 Mac 2020, menurut pertubuhan kebebasan media, The Press Emblem Campaign (PEC) yang merekodkan kematian petugas media di seluruh dunia.Data PEC... "
UMNO perlu hentikan politik pentingkan diri,2021-01-06,20:16:00,https://www.sinarharian.com.my/article/117878/berita/politik/umno-perlu-hentikan-politik-pentingkan-diri," SHAH ALAM - UMNO semakin terdesak untuk mendapatkan kuasa sehingga bertindak untuk menggulingkan kerajaan dan mengenepikan kebajikan rakyat, kata Setiausaha Wanita Perikatan Nasional (PN), Haniza Talha.Beliau berkata,... "
Isu keselamatan vaksin bukan perkara baharu,2021-01-06,19:57:00,https://www.sinarharian.com.my/article/117876/khas/wacana/isu-keselamatan-vaksin-bukan-perkara-baharu," SHAH ALAM – Isu keselamatan mengenai kesan sampingan penggunaan vaksin bukanlah isu baharu dan semua ubat memerlukan perimbangan keselamatan dan risiko.Rektor Universiti Islam Antarabangsa Malaysia (UIAM), Profesor... "
"Perketat SOP diri, vaksin mujarab cegah Covid-19 di Kelantan",2021-01-06,19:54:00,https://www.sinarharian.com.my/article/117875/khas/covid-19/perketat-sop-diri-vaksin-mujarab-cegah-covid-19-di-kelantan," KOTA BHARU - Ketika mana kes Covid-19 di Kelantan mengalami peningkatan, hanya disiplin dengan memperketatkan prosedur operasi standard (SOP) pada diri sendiri menjadi vaksin paling mujarab membendung penularan... "
Masyarakat perlu buka minda mengenai vaksin,2021-01-06,18:25:00,https://www.sinarharian.com.my/article/117860/khas/wacana/masyarakat-perlu-buka-minda-mengenai-vaksin, SHAH ALAM- Rakyat Malaysia perlu membuka minda supaya tidak dipengaruhi oleh pihak tertentu yang menggunakan media sosial untuk menyebarkan perkara yang tidak tepat mengenai vaksin sedangkan ia amat diperlukan untuk... 
Tadbir urus lemah bukti ketidakmampuan kerajaan PN,2021-01-06,18:14:00,https://www.sinarharian.com.my/article/117858/berita/politik/tadbir-urus-lemah-bukti-ketidakmampuan-kerajaan-pn," SHAH ALAM - Tadbir urus yang lemah dan kekerapan pertukaran dasar jelas membuktikan ketidakmampuan kerajaan pimpinan Perdana Menteri, Tan Sri Muhyiddin Yassin.Setiausaha Agung DAP, Lim Guan Eng mendakwa, tadbir urus... "
PRU ketika Covid-19 tindakan tak bertanggungjawab: Khairy,2021-01-06,17:27:00,https://www.sinarharian.com.my/article/117844/berita/politik/pru-ketika-covid-19-tindakan-tak-bertanggungjawab-khairy," SHAH ALAM - Menteri Sains, Teknologi dan Inovasi, Khairy Jamaluddin Abu Bakar menyifatkan pihak yang ingin melakukan Pilihan Raya Umum ke-15 (PRU15) ketika negara masih dilanda Covid-19 adalah tidak... "
"Apa sebenarnya UMNO inginkan, soal Hishammuddin",2021-01-06,16:14:00,https://www.sinarharian.com.my/article/117820/berita/politik/apa-sebenarnya-umno-inginkan-soal-hishammuddin," SHAH ALAM - Bendahari Agung Barisan Nasional (BN), Datuk Seri Hishammuddin Tun Hussein meminta parti itu membuat pertimbangan wajar dalam soal hala tuju parti dalam mesyuarat Majlis Kerja Tertinggi malam... "
"Majikan wajib biayai kos vaksin, ujian saringan Covid-19",2021-01-06,15:43:00,https://www.sinarharian.com.my/article/117854/berita/semasa/majikan-wajib-biayai-kos-vaksin-ujian-saringan-covid-19," SHAH ALAM - Kementerian Sumber Manusia (KSM) mewajibkan majikan untuk membiayai kos imunisasi (vaksin) termasuk ujian pengesanan Covid-19.Menteri Sumber Manusia, Datuk Seri M Saravanan berkata, arahan tersebut selaras... "
Pharmaniaga dijangka jadi pengedar utama vaksin Covid-19,2021-01-06,13:00:00,https://www.sinarharian.com.my/article/117780/khas/covid-19/pharmaniaga-dijangka-jadi-pengedar-utama-vaksin-covid-19, KUALA LUMPUR - AmInvestment Bank Bhd (AmInvest) percaya Pharmaniaga Bhd akan menjadi pengedar utama vaksin Covid-19 kepada hospital tempatan dan akan melantik syarikat lain untuk membantu mengedarkan vaksin tersebut ke... 
Ringgit dibuka rendah berbanding dolar AS,2021-01-06,11:05:00,https://www.sinarharian.com.my/article/117761/bisnes/ringgit-dibuka-rendah-berbanding-dolar-as," KUALA LUMPUR - Ringgit dibuka rendah berbanding dolar AS pagi ini berikutan ketidaktentuan mengenai jumlah kes Covid-19 yang meningkat dan perbincangan mengenai kelewatan dalam proses pengedaran vaksin, kata... "
2021 tahun untuk belajar hidup bersama Covid-19,2021-01-06,09:00:00,https://www.sinarharian.com.my/article/117674/bisnes/2021-tahun-untuk-belajar-hidup-bersama-covid-19," Rata-rata semua orang, tak kira miskin apa lagi yang kaya, semakin letih dengan pantang larang Covid-19. Sebab itu kita lihat ramai yang berbondong-bondong ke luar rumah. Sama ada bercuti, balik kampung, ke pusat... "
Thailand tempah tambahan 35 juta dos vaksin Covid-19,2021-01-05,23:00:00,https://www.sinarharian.com.my/article/117746/khas/covid-19/thailand-tempah-tambahan-35-juta-dos-vaksin-covid-19," BANGKOK - Thailand telah menempah tambahan 35 juta dos vaksin Covid-19 menjadikan jumlah pembelian 61 juta dos daripada firma farmaseutikal multinasional Britain-Sweden, Oxford-AstraZeneca.Perdana Menteri, Prayuth Chan... "
Benarkah vaksin selamat digunakan?,2021-01-05,22:50:00,https://www.sinarharian.com.my/article/117745/video/video-shorts/benarkah-vaksin-selamat-digunakan," WACANA SHORTS 5 JANUARI 2021
Berikut merupakan petikan Wacana Sinar yang bertajuk 'Vaksin Covid-19: Suci & selamatkah?' bersama Pakar Perunding Pediatrik Hospital Pakar Damansara, Datuk Dr Musa Mohd Nordin... "
Vaksin Covid-19: Suci & selamatkah?,2021-01-05,22:46:00,https://www.sinarharian.com.my/article/117742/video/wacana/vaksin-covid-19-suci-selamatkah," Kita tertanya-tanya status vaksin Covid-19 yang bakal diterima negara Februari nanti.Soalan pertama adakah selamat? Dan yang kedua bagaimana dengan status halal?Itulah yang bermain dalam fikiran jutaan rakyat... "
BioNTech beri amaran tangguh suntikan dos kedua,2021-01-05,22:13:00,https://www.sinarharian.com.my/article/117738/khas/covid-19/biontech-beri-amaran-tangguh-suntikan-dos-kedua," BERLIN - Firma bioteknologi BioNTech di Jerman dimiliki pasangan saintis Muslim yang menghasilkan vaksin Covid-19 bersama syarikat farmaseutikal gergasi di Amerika Syarikat, Pfizer memberi amaran pada Selasa tiada data... "
Indonesia mula program vaksinasi Covid-19 pada 14 Januari ini,2021-01-05,20:56:00,https://www.sinarharian.com.my/article/117714/global/indonesia-mula-program-vaksinasi-covid-19-pada-14-januari-ini," JAKARTA – Indonesia akan memulakan program vaksinasi ke atas petugas perubatan dan kakitangan awam di kesemua 34 wilayah bermula 14 Januari ini.Sehari sebelum program itu bermula, Presiden, Joko Widodo atau Jokowi... "
PAC puas hati penjelasan Khairy,2021-01-05,20:40:00,https://www.sinarharian.com.my/article/117711/berita/nasional/pac-puas-hati-penjelasan-khairy, KUALA LUMPUR - Jawatankuasa Kira-Kira Wang Negara (PAC) tidak akan berkompromi dengan prinsip ketelusan dalam menjalankan tugasan dan pada masa sama akan menjaga kepentingan negara sementara menghormati perjanjian yang... 
[LIVE] Vaksin Covid-19: Suci & selamatkah?,2021-01-05,20:28:00,https://www.sinarharian.com.my/article/117707/live-video/live-vaksin-covid-19-suci-selamatkah,
Jokowi diberi suntikan vaksin Covid-19 13 Januari ini,2021-01-05,18:58:00,https://www.sinarharian.com.my/article/117695/khas/covid-19/jokowi-diberi-suntikan-vaksin-covid-19-13-januari-ini," JAKARTA - Presiden Indonesia, Joko Widodo (Jokowi) dan menteri kabinetnya akan menerima suntikan vaksin Covid-19 pada 13 Januari ini, bagi meningkatkan keyakinan rakyat republik itu terhadap vaksin berkenaan.Menteri... "
Daftar melalui MySejahtera untuk pengambilan vaksin secara sukarela,2021-01-05,17:54:00,https://www.sinarharian.com.my/article/117690/khas/covid-19/daftar-melalui-mysejahtera-untuk-pengambilan-vaksin-secara-sukarela," KUALA LUMPUR - Kerajaan akan menambahkan ciri pendaftaran vaksinasi pada aplikasi pengesanan kontak MySejahtera setelah Pelan Vaksinasi Kebangsaan diluluskan kelak.Menteri Sains, Teknologi dan Inovasi, Khairy... "
"Annuar tidak dipecat, tapi diganti, kata Ahmad",2021-01-05,17:42:00,https://www.sinarharian.com.my/article/117683/berita/politik/annuar-tidak-dipecat-tapi-diganti-kata-ahmad," KUALA LUMPUR - Setiausaha Agung Barisan Nasional (BN), Datuk Seri Ahmad Maslan menegaskan Tan Sri Annuar Musa tidak dipecat dan beliau menggantikan tempat yang disandang oleh Ahli Parlimen Ketereh itu.“Beliau... "
